Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Purples,9,1127.401028,250283.4493,Social,375.8003426,Yes,666.0011206,No,Male,After_16:00,0.440783207,0.910421441,6.100617764,3.997778215,9.865626753,6.09349275,9243,95.06189367,686.4764833,8032.964172,84504.18954,No,443557.4926,26.20069624,943970.0146,98.76058483,141611.6978,70,30-45,1,1081.473552,11,Public_or_other,Public_Sector,794.0892099,0,Yes
Reds,1,219.5411735,42391.36189,Education,73.18039118,No,579.2721412,No,Female,After_16:00,0.900655019,0.825031463,1.853202502,0.0727743,0.201537709,3.997098971,5382,48.06070954,650.1189709,7092.959354,77559.70617,Yes,335556.2136,25.49743067,846581.3449,86.00986172,5438.550045,100,30-45,3,984.3943335,20,Car,Student_or_Unemployed,682.7200911,1,No
Reds,7,813.5462815,155037.5291,Healthcare,271.1820938,No,571.7100523,No,Female,After_16:00,0.874167135,0.669698947,6.971226325,4.904611995,3.923361367,5.44335102,3185,38.13048978,636.1677862,6989.436095,75604.54096,Yes,326852.3839,25.22236678,810652.4426,45.34808637,73820.91012,80,Below_30,2,955.6360819,14,Foot_or_bicycle,Public_Sector,651.8281381,0,No
Yellows,5,806.7185003,106993.7964,Education,268.9061668,No,397.8852464,Yes,Female,After_16:00,0.025579156,0.937659318,9.815845916,6.154140101,0.740369286,7.459752539,8979,76.30224065,572.09837,5123.049204,67143.44552,Yes,158312.6693,23.91857793,655636.259,22.12695542,72589.4327,100,Below_30,1,872.3189432,15,Car,Public_Sector,635.283771,1,No
Greens,4,659.499563,106952.4762,Foreign_Affairs,219.8331877,No,486.5165145,Yes,Female,By_16:00,0.079287469,0.333660027,4.577265275,0.183210736,5.702271739,9.768458104,6660,73.7169601,477.1185871,5819.40232,51617.41371,Yes,236698.3189,21.84304436,456005.9021,94.40707322,48556.46358,40,45_and_up,2,590.6050318,5,Car,Services_or_Retail,225.0933039,0,Yes
Blues,3,451.8681456,61460.53722,Education,150.6227152,No,408.0429511,Yes,Male,By_16:00,0.067793188,0.307470478,7.013737606,8.712760888,3.85219143,2.173000146,5358,66.93992107,565.6414398,5211.712391,65611.75184,Yes,166499.05,23.78321761,640902.1592,14.77044332,22847.82505,100,30-45,3,841.7012973,11,Foot_or_bicycle,Student_or_Unemployed,583.6394127,1,No
Yellows,1,171.6801774,18014.79219,Environment,57.22672578,No,314.7968356,Yes,Female,After_16:00,0.87199896,0.25111187,5.174193983,1.517432642,5.64632735,8.096736411,5051,12.66118588,620.5408656,4389.050087,69291.63068,Yes,99097.04767,24.91065767,771088.3292,79.40475876,3342.12487,90,Below_30,5,900.7667937,8,Car,Student_or_Unemployed,621.6006622,0,No
Yellows,8,938.9664689,174817.134,Healthcare,312.988823,No,558.5411401,No,Male,By_16:00,0.601425854,0.543122404,4.572382404,8.024424193,9.637418066,0.448792852,3152,42.47282851,600.1800372,6785.771475,75671.57102,Yes,311968.2052,24.49857215,721790.346,87.52132731,98284.99213,80,45_and_up,6,990.8415533,3,Foot_or_bicycle,Industry_or_other,789.6508116,0,No
Oranges,3,857.4513648,129807.1977,Healthcare,285.8171216,No,454.1617274,Yes,Female,After_16:00,0.67109996,0.681403133,5.806459191,4.712049325,1.713200971,1.166328273,4157,29.78643244,600.3532161,5742.323706,78782.45393,Yes,206262.8746,24.50210636,722046.4113,74.38630629,81987.24413,80,45_and_up,1,952.8747568,5,Public_or_other,Hightech,734.2813792,0,No
Reds,9,235.2993283,31205.81267,Social,78.43310944,No,397.8653007,Yes,Female,By_16:00,0.993196076,0.345665989,5.457745059,1.519081157,0.098491735,6.409184278,8174,77.1135313,696.0841797,5370.821366,82292.52332,Yes,158296.7975,26.38340728,970336.9348,66.26521414,6240.185766,70,Below_30,3,1097.611832,13,Foot_or_bicycle,Services_or_Retail,862.6990797,2,No
